cluster_num,month_num,water_temp,conductivity,min_temp_t1,min_temp_t2,min_temp_t3,max_temp_t1,max_temp_t2,max_temp_t3,rainfall_t1,rainfall_t2,rainfall_t3,daily_sun_exp_t1,daily_sun_exp_t2,daily_sun_exp_t3,enterococci
0,3,,,17.7,15.5,18.4,23.7,23.5,22.7,0.0,0.0,4.0,18.6,19.5,16.5,6.0
0,3,24.0,,18.4,15.5,16.6,22.7,22.1,22.4,4.0,0.0,0.0,16.5,14.1,18.2,0.0
0,3,22.0,,18.8,18.3,21.0,23.4,23.2,22.9,1.0,1.4,5.8,12.0,15.0,11.1,37.0
0,3,23.0,,19.4,18.9,18.8,29.1,27.7,26.2,0.0,0.0,0.0,22.5,22.7,21.2,1.0
0,3,0.0,,21.2,22.5,22.6,23.5,21.0,24.2,0.6,0.0,0.0,20.7,3.8,12.2,1.0
0,2,23.0,,21.1,23.7,21.1,25.6,22.4,27.2,0.2,0.6,0.0,25.3,14.1,8.4,2.0
0,2,24.0,,19.2,19.9,21.8,26.2,25.1,23.3,0.0,23.0,0.0,13.5,20.4,9.1,6.0
0,2,23.0,,18.8,20.3,20.5,30.2,26.4,24.2,0.0,0.0,5.6,27.4,27.6,24.4,0.0
0,2,20.0,,20.5,21.2,19.7,24.2,22.7,24.1,5.6,0.0,0.0,24.4,8.5,28.0,54.0
0,2,20.0,,22.8,24.8,20.5,29.6,25.6,25.3,0.0,0.0,0.0,22.8,25.2,27.9,1.0
0,1,21.0,,21.9,23.5,23.8,23.8,23.2,23.4,2.4,0.2,4.4,26.8,20.1,15.4,0.0
0,1,19.0,,20.5,21.5,20.1,38.8,25.8,23.9,0.0,0.0,0.0,29.2,23.5,28.6,1.0
0,1,0.0,,20.2,20.9,19.9,23.3,27.9,26.6,0.0,0.0,2.0,11.7,24.2,30.9,4.0
0,1,20.0,,17.5,19.3,22.8,25.2,24.3,22.6,0.0,0.2,10.8,28.1,26.4,15.7,28.0
0,1,,,19.7,18.9,20.1,26.0,23.9,21.1,0.0,0.0,0.2,25.8,15.7,18.4,17.0
0,12,19.0,,23.7,20.4,21.5,27.1,25.4,24.4,0.0,0.0,0.0,17.0,27.7,25.0,87.0
0,12,0.0,,21.5,17.9,21.6,24.4,24.1,24.2,0.0,0.0,0.0,25.0,26.4,27.7,0.0
0,12,20.0,,21.1,22.4,20.2,22.8,29.7,29.7,2.6,9.8,0.0,13.6,25.7,10.6,0.0
0,12,19.0,,15.4,18.2,17.3,27.0,22.9,22.6,0.0,2.8,37.4,29.8,28.5,23.7,5.0
0,12,0.0,0.0,17.3,18.5,18.5,22.6,23.3,25.6,37.4,0.8,6.2,23.7,16.5,23.0,8.0
0,11,,,18.8,18.1,18.7,26.9,24.9,23.0,11.2,5.8,9.4,20.8,18.4,11.9,3.0
0,11,,,12.8,15.3,19.2,24.4,23.1,20.6,0.0,1.6,10.0,30.0,30.0,29.1,1.0
0,11,,,19.4,14.6,19.1,22.4,24.5,23.8,0.0,0.0,0.0,25.6,28.6,29.0,1.0
0,11,18.0,,17.0,13.9,16.9,18.0,19.3,19.5,11.4,0.0,0.0,11.4,8.0,11.3,0.0
0,11,16.0,,15.9,15.0,13.1,25.4,31.9,24.0,0.0,0.0,0.2,27.0,18.3,27.0,9.0
0,3,,,18.0,18.0,19.3,25.8,25.4,24.5,0.0,1.8,5.2,13.6,10.0,14.1,67.0
0,3,,,19.3,20.3,19.8,24.5,19.9,24.2,5.2,1.0,2.6,14.1,5.6,18.1,1.0
0,3,,,18.7,17.3,17.5,25.0,28.3,23.0,0.2,0.0,0.0,13.7,21.1,7.2,5.0
0,3,,,22.7,20.6,18.6,24.3,26.0,24.1,0.0,0.0,0.0,14.1,19.7,22.5,1.0
0,3,,,16.4,18.8,18.4,27.5,24.8,20.9,1.6,2.4,12.0,22.8,15.5,7.9,33.0
0,2,,,17.4,15.9,18.1,35.5,27.8,24.9,0.0,0.0,0.2,18.0,25.2,21.5,100.0
0,2,,,20.4,17.7,15.5,24.8,29.8,26.6,1.0,0.0,0.0,26.3,21.4,22.5,96.0
0,2,,,20.1,21.4,21.5,22.9,21.2,25.1,0.2,0.0,0.0,21.7,12.2,19.1,0.0
0,2,,,21.5,16.7,18.0,25.1,36.3,27.1,0.0,0.4,47.4,19.1,26.0,23.4,0.0
0,2,,,18.5,21.4,23.5,23.8,26.4,25.7,0.0,0.0,0.0,28.0,28.7,28.8,1.0
0,1,,,24.2,17.8,21.4,26.4,28.4,24.3,0.0,0.0,4.4,6.1,29.0,8.0,9.0
0,1,,,15.7,17.3,18.8,25.6,23.9,22.4,0.0,0.2,0.0,17.0,26.7,18.2,3.0
0,1,,,15.9,17.6,16.1,26.3,25.9,26.3,0.0,0.0,0.0,24.5,29.0,28.8,1.0
0,1,,,18.5,17.6,17.6,22.8,22.4,21.6,0.0,0.0,1.6,31.1,20.7,18.4,0.0
0,1,,,16.6,18.7,18.9,24.9,24.5,23.5,0.2,0.0,5.6,21.5,28.7,20.9,4.0
0,12,,,14.7,14.6,14.6,21.9,20.5,21.5,0.0,0.0,0.0,28.6,30.2,27.4,4.0
0,12,,,14.6,14.5,13.3,21.5,20.7,22.1,0.0,0.0,0.0,27.4,23.3,26.2,1.0
0,12,,,16.7,15.7,15.8,24.4,20.2,19.7,0.0,0.0,0.0,26.8,31.6,29.6,7.0
0,12,,,19.5,14.3,15.3,21.4,25.5,23.5,24.6,0.0,0.0,23.4,16.2,31.5,17.0
0,12,,,15.3,15.3,15.4,23.5,22.0,20.7,0.0,0.0,3.0,31.5,31.4,24.0,0.0
0,11,,,18.4,16.4,14.8,31.7,20.7,18.7,0.2,0.0,7.6,17.6,29.1,7.8,8.0
0,11,,,19.5,13.0,13.2,25.9,24.1,19.4,0.0,0.0,0.0,30.1,23.6,28.7,3.0
0,11,17.0,,15.3,16.2,12.9,24.8,22.1,22.9,0.6,4.0,0.0,11.5,,17.8,0.0
0,11,,,10.8,13.6,12.8,22.3,21.2,19.7,0.0,0.0,0.0,25.9,26.4,25.1,1.0
0,10,,,11.0,12.2,15.4,23.4,22.7,24.0,0.0,0.0,0.0,25.1,26.0,24.0,0.0
0,3,,,17.4,17.5,18.9,23.2,22.4,21.3,9.6,9.2,2.0,13.3,12.7,7.8,1.0
0,3,,,13.8,18.4,17.4,25.8,23.1,23.1,0.0,0.0,0.0,19.2,13.2,20.4,2.0
0,3,,,17.4,18.6,19.5,23.1,22.3,26.0,0.0,11.2,0.4,20.4,15.5,17.9,0.0
0,3,,,18.4,16.4,16.1,23.6,24.5,24.1,10.0,0.0,1.6,14.6,18.8,18.2,6.0
0,3,,,16.1,15.9,17.8,24.1,23.6,21.6,1.6,0.4,0.0,18.2,21.2,22.4,76.0
0,2,,,19.6,20.9,21.6,24.3,22.9,23.4,16.8,15.4,11.4,20.6,7.8,4.7,260.0
0,2,,,19.8,21.2,18.4,22.7,23.5,26.4,0.0,0.0,0.0,7.4,9.3,26.1,0.0
0,2,,,18.4,19.2,21.1,26.4,22.4,23.8,0.0,0.2,0.0,26.1,20.3,12.8,0.0
0,2,,,17.2,18.9,16.7,25.1,21.8,22.4,8.0,0.4,6.4,25.8,10.4,8.3,0.0
