sa2_code,sa2_name,index_seifa_disadvantage,decile_seifa_disadvantage,index_seifa_advantage_disadvantage,decile_seifa_advantage_disadvantage,index_economic_resources,decile_economic_resources,index_education_occupation,decile_education_occupation,Usual Resident Population
101021007,Braidwood,1024,6,1001,6,1027,7,1008,6,4343
101021008,Karabar,994,5,982,5,1000,5,967,5,8517
101021009,Queanbeyan,1010,5,998,6,945,3,1000,6,11342
101021010,Queanbeyan - East,1025,6,1015,6,969,4,1025,7,5085
101021012,Queanbeyan West - Jerrabomberra,1098,10,1107,9,1109,10,1080,8,12744
101021610,Googong,1128,10,1154,10,1165,10,1127,9,6224
101021611,Queanbeyan Surrounds,1098,10,1105,9,1135,10,1073,8,16539
101031013,Bombala,965,3,935,3,976,4,919,3,2454
101031014,Cooma,982,4,953,4,964,3,943,4,6761
101031015,Cooma Surrounds,1039,7,1007,6,1066,9,985,5,3472
101031016,Jindabyne - Berridale,1054,8,1025,7,1016,6,1001,6,8035
101041017,Batemans Bay,946,2,909,2,957,3,894,2,8581
101041018,Batemans Bay - South,989,4,954,4,986,5,947,4,8938
101041019,Bega - Tathra,975,4,942,3,976,4,941,4,8872
101041020,Bega-Eden Hinterland,991,4,954,4,1007,6,958,4,9557
101041021,Broulee - Tomakin,1034,7,1002,6,1012,6,1011,6,3792
101041022,Deua - Wadbilliga,1025,6,929,3,989,5,993,6,43
101041023,Eden,910,2,880,1,931,2,861,1,3425
101041024,Eurobodalla Hinterland,995,5,954,4,1008,6,945,4,3525
101041025,Merimbula - Tura Beach,1012,6,970,4,996,5,960,4,11513
101041026,Moruya - Tuross Head,993,5,949,3,991,5,945,4,8600
101041027,Narooma - Bermagui,986,4,946,3,976,4,953,4,9888
101051539,Goulburn,957,3,933,3,964,3,918,2,24565
101051540,Goulburn Surrounds,1017,6,987,5,1042,8,965,5,13839
101061541,Yass,1018,6,992,5,1025,7,978,5,6763
101061542,Yass Surrounds,1086,10,1092,9,1126,10,1079,8,12713
101061543,Young,940,2,912,2,957,3,904,2,11004
101061544,Young Surrounds,970,3,948,3,993,5,956,4,7677
102011028,Avoca Beach - Copacabana,1079,9,1084,9,1103,10,1084,8,7513
102011029,Box Head - MacMasters Beach,1064,8,1051,8,1074,9,1046,7,11042
102011030,Calga - Kulnura,1027,6,1021,6,1051,8,1003,6,4716
102011031,Erina - Green Point,1033,7,1028,7,1047,8,1011,6,14758
102011032,Gosford - Springfield,983,4,986,5,939,2,1016,7,21204
102011033,Kariong,1035,7,1012,6,1054,8,987,5,6485
102011034,Kincumber - Picketts Valley,1013,6,992,5,1019,7,986,5,7615
102011035,Narara,1026,6,1006,6,1046,8,991,6,7157
102011036,Niagara Park - Lisarow,1040,7,1024,7,1062,9,1005,6,8205
102011037,Point Clare - Koolewong,1033,7,1025,7,1017,6,1028,7,6571
102011038,Saratoga - Davistown,1056,8,1028,7,1060,8,1000,6,7160
102011039,Terrigal - North Avoca,1078,9,1085,9,1078,9,1078,8,14849
102011040,Umina - Booker Bay - Patonga,977,4,965,4,966,3,963,5,24697
102011041,Wamberal - Forresters Beach,1081,9,1077,9,1097,10,1060,8,10675
102011042,Woy Woy - Blackwall,951,3,946,3,935,2,949,4,14346
102011043,Wyoming,981,4,959,4,986,5,965,5,11423
102021044,Bateau Bay - Killarney Vale,991,4,966,4,1004,6,947,4,22825
102021045,Blue Haven - San Remo,920,2,886,1,977,4,855,1,11290
102021046,Budgewoi - Buff Point - Halekula,954,3,918,2,972,4,899,2,9728
102021047,Chittaway Bay - Tumbi Umbi,1018,6,988,5,1042,8,959,4,16006
102021048,Gorokan - Kanwal - Charmhaven,917,2,891,1,943,2,876,1,22362
102021049,Jilliby - Yarramalong,1060,8,1060,8,1127,10,1018,7,3420
102021050,Lake Munmorah - Mannering Park,952,3,906,2,979,4,873,1,10960
102021051,Ourimbah - Fountaindale,1052,8,1031,7,1064,9,1015,6,4928
102021052,Summerland Point - Gwandalan,981,4,935,3,1017,6,890,1,6492
102021053,The Entrance,945,2,935,3,930,2,944,4,15839
102021054,Toukley - Norah Head,939,2,914,2,950,3,904,2,9909
102021055,Tuggerah - Kangy Angy,1013,6,996,5,1026,7,977,5,5229
102021056,Warnervale - Wadalba,1002,5,992,5,1053,8,960,4,20051
102021057,Wyong,897,1,892,1,925,2,897,2,9120
103011059,Bathurst - East,984,4,957,4,1020,7,933,3,12330
103011060,Bathurst Surrounds,1049,8,1019,6,1081,9,998,6,6909
103011061,Oberon,965,3,934,3,991,5,915,2,4834
103011612,Bathurst - South,939,2,929,3,891,1,958,4,10752
103011613,Bathurst - West,1011,5,982,5,1021,7,967,5,14313
103021062,Condobolin,947,3,934,3,956,3,946,4,6372
103021063,Cowra,914,2,890,1,927,2,888,1,9273
103021064,Cowra Surrounds,974,4,949,3,999,5,953,4,5716
103021065,Forbes,968,3,940,3,979,4,935,3,10020
103021066,Grenfell,960,3,942,3,978,4,950,4,3597
103021067,Parkes (NSW),946,2,918,2,955,3,899,2,10919
103021068,Parkes Surrounds,950,3,940,3,974,4,960,4,3262
103021069,West Wyalong,993,5,958,4,1001,5,939,3,5525
103031070,Lithgow,910,2,892,1,923,2,874,1,12385
103031071,Lithgow Surrounds,971,3,940,3,1013,6,910,2,8448
103031072,Mudgee,990,4,960,4,998,5,925,3,12563
103031073,Mudgee Surrounds - East,899,1,885,1,927,2,898,2,3398
103031074,Mudgee Surrounds - West,987,4,953,4,1025,7,920,3,11072
103041076,Blayney,991,4,963,4,1020,7,942,4,7517
103041077,Orange,956,3,942,3,938,2,950,4,19023
103041078,Orange - North,1027,6,1005,6,1034,7,988,6,22895
103041079,Orange Surrounds,1048,8,1020,6,1069,9,994,6,11830
104011080,Grafton,907,2,884,1,925,2,878,1,19255
104011081,Grafton Surrounds,951,3,916,2,998,5,901,2,16875
104011082,Maclean - Yamba - Iluka,967,3,933,3,977,4,924,3,17533
104021083,Bellingen,992,5,979,5,987,5,1030,7,6168
104021084,Coffs Harbour - North,940,2,928,3,946,3,934,3,18099
104021085,Coffs Harbour - South,929,2,925,2,929,2,942,4,11305
104021086,Coramba - Nana Glen - Bucca,1024,6,982,5,1055,8,954,4,3950
104021087,Dorrigo,948,3,928,3,961,3,952,4,3250
104021088,Korora - Emerald Beach,1053,8,1034,7,1067,9,1020,7,10262
104021089,Sawtell - Boambee,976,4,949,3,985,4,944,4,20066
104021090,Urunga,968,3,939,3,977,4,939,3,4907
104021091,Woolgoolga - Arrawarra,972,4,956,4,988,5,954,4,14463
105011092,Bourke - Brewarrina,910,2,929,3,899,1,964,5,3428
105011093,Cobar,965,3,937,3,977,4,905,2,4129
105011094,Coonamble,893,1,902,2,932,2,929,3,3926
105011095,Nyngan - Warren,953,3,939,3,971,4,932,3,4591
105011096,Walgett - Lightning Ridge,883,1,894,2,893,1,925,3,5534
105021097,Broken Hill,913,2,892,1,919,2,887,1,17588
105021098,Far West,879,1,909,2,908,1,957,4,2288
105031099,Coonabarabran,924,2,911,2,950,3,928,3,7921
105031100,Dubbo - East,975,4,946,3,986,4,927,3,10633
105031101,Dubbo - South,1004,5,974,5,978,4,967,5,19628
105031102,Dubbo - West,976,4,953,4,990,5,933,3,10317
105031103,Dubbo Surrounds,1048,7,1009,6,1083,9,972,5,5963
105031104,Gilgandra,933,2,916,2,958,3,927,3,4398
105031105,Narromine,960,3,936,3,982,4,932,3,6458
105031106,Wellington,922,2,907,2,949,3,907,2,8769
106011107,Branxton - Greta - Pokolbin,1021,6,990,5,1062,9,934,3,12770
106011108,Cessnock,895,1,869,1,937,2,850,1,23495
106011109,Cessnock Surrounds,1000,5,968,4,1054,8,939,3,9145
106011110,Dungog,1009,5,974,5,1040,8,945,4,9541
106011111,Kurri Kurri - Abermain,924,2,889,1,973,4,852,1,20631
106011112,Singleton,984,4,948,3,1008,6,895,2,17018
106011113,Singleton Surrounds,1012,6,980,5,1063,9,914,2,5332
106021114,Maitland,987,4,964,4,1013,6,941,4,8611
106021116,Maitland - North,1064,8,1044,7,1092,10,1013,6,8727
106021614,East Maitland - Metford,978,4,956,4,990,5,937,3,17981
106021615,Rutherford (North) - Aberglassly,987,4,955,4,1026,7,910,2,17730
